Tabela kursow walut mBanku S.A. nr 255/04/20;;;;;;;
Tabela kursowa z 2020-12-31 16:30:00;;;;;;;
Kraj;Waluta;Nazwa;Liczba ref;Kurs kupna;Kurs sprzedazy;Kurs sredni;Spread
USA;USD;DOLAR;1;3.6099;3.8331;3.7215;0.2232 (6.0%)
Szwajcaria;CHF;FRANK;1;4.1597;4.2863;4.2230;0.1266 (3.0%)
EUGiW;EUR;EURO;1;4.4260;4.6998;4.5629;0.2738 (6.0%)
Japonia;JPY;JEN;100;3.5039;3.7207;3.6123;0.2168 (6.0%)
Australia;AUD;DOLAR;1;2.7921;2.9649;2.8785;0.1728 (6.0%)
Bulgaria;BGN;LEWA;1;2.2637;2.4037;2.3337;0.1400 (6.0%)
Kanada;CAD;DOLAR;1;2.8377;3.0133;2.9255;0.1756 (6.0%)
Chiny;CNY;JUAN;1;0.5554;0.5898;0.5726;0.0344 (6.0%)
Czechy;CZK;KORONA;1;0.1687;0.1791;0.1739;0.0104 (6.0%)
Dania;DKK;KORONA;1;0.5949;0.6317;0.6133;0.0368 (6.0%)
W.Brytania;GBP;FUNT;1;4.9300;5.2350;5.0825;0.3050 (6.0%)
Chorwacja;HRK;KUNA;1;0.5817;0.6177;0.5997;0.0360 (6.0%)
Wegry;HUF;FORINT;100;1.2175;1.2929;1.2552;0.0754 (6.0%)
Izrael;ILS;SZEKEL;1;1.1225;1.1919;1.1572;0.0694 (6.0%)
Norwegia;NOK;KORONA;1;0.4231;0.4493;0.4362;0.0262 (6.0%)
Rumunia;RON;LEJA;1;0.9092;0.9654;0.9373;0.0562 (6.0%)
Rosja;RUB;RUBEL;1;0.0489;0.0519;0.0504;0.0030 (6.0%)
Szwecja;SEK;KORONA;1;0.4417;0.4691;0.4554;0.0274 (6.0%)
Turcja;TRY;LIRA;1;0.4857;0.5157;0.5007;0.0300 (6.0%)
RPA;ZAR;RAND;1;0.2463;0.2615;0.2539;0.0152 (6.0%)
